Offered_Load(G),Pure_ALOHA,Slotted_ALOHA
0.00,0.000000,0.000000
0.05,0.045242,0.047561
0.10,0.081873,0.090484
0.15,0.111123,0.129106
0.20,0.134064,0.163746
0.25,0.151633,0.194700
0.30,0.164643,0.222245
0.35,0.173805,0.246641
0.40,0.179732,0.268128
0.45,0.182956,0.286933
0.50,0.183940,0.303265
0.55,0.183079,0.317322
0.60,0.180717,0.329287
0.65,0.177146,0.339330
0.70,0.172618,0.347610
0.75,0.167348,0.354275
0.80,0.161517,0.359463
0.85,0.155281,0.363303
0.90,0.148769,0.365913
0.95,0.142090,0.367404
1.00,0.135335,0.367879
1.05,0.128579,0.367435
1.10,0.121883,0.366158
1.15,0.115298,0.364132
1.20,0.108862,0.361433
1.25,0.102606,0.358131
1.30,0.096556,0.354291
1.35,0.090727,0.349974
1.40,0.085134,0.345236
1.45,0.079784,0.340127
1.50,0.074681,0.334695
1.55,0.069826,0.328984
1.60,0.065220,0.323034
1.65,0.060857,0.316882
1.70,0.056735,0.310562
1.75,0.052845,0.304104
1.80,0.049183,0.297538
1.85,0.045739,0.290889
1.90,0.042504,0.284180
1.95,0.039472,0.277434
2.00,0.036631,0.270671
2.05,0.033974,0.263907
2.10,0.031491,0.257158
2.15,0.029172,0.250441
2.20,0.027010,0.243767
2.25,0.024995,0.237148
2.30,0.023119,0.230595
2.35,0.021374,0.224118
2.40,0.019751,0.217723
2.45,0.018244,0.211419
2.50,0.016845,0.205212
2.55,0.015547,0.199108
2.60,0.014343,0.193111
2.65,0.013228,0.187226
2.70,0.012195,0.181455
2.75,0.011239,0.175802
2.80,0.010354,0.170268
2.85,0.009536,0.164856
2.90,0.008780,0.159567
2.95,0.008081,0.154402
3.00,0.007436,0.149361
3.05,0.006841,0.144445
3.10,0.006291,0.139653
3.15,0.005784,0.134984
3.20,0.005317,0.130439
3.25,0.004886,0.126016
3.30,0.004489,0.121714
3.35,0.004124,0.117533
3.40,0.003787,0.113469
3.45,0.003477,0.109522
3.50,0.003192,0.105691
3.55,0.002929,0.101972
3.60,0.002688,0.098365
3.65,0.002466,0.094868
3.70,0.002262,0.091477
3.75,0.002074,0.088192
3.80,0.001902,0.085009
3.85,0.001743,0.081927
3.90,0.001598,0.078943
3.95,0.001464,0.076056
4.00,0.001342,0.073263
4.05,0.001229,0.070561
4.10,0.001126,0.067948
4.15,0.001031,0.065422
4.20,0.000944,0.062981
4.25,0.000865,0.060623
4.30,0.000792,0.058345
4.35,0.000725,0.056145
4.40,0.000663,0.054020
4.45,0.000607,0.051970
4.50,0.000555,0.049990
4.55,0.000508,0.048081
4.60,0.000465,0.046238
4.65,0.000425,0.044461
4.70,0.000389,0.042748
4.75,0.000356,0.041096
4.80,0.000325,0.039503
4.85,0.000297,0.037968
4.90,0.000272,0.036488
4.95,0.000248,0.035063
5.00,0.000227,0.033690
