G,CW,Throughput_S
0.100,4,0.100678
0.100,8,0.100699
0.100,16,0.098275
0.100,32,0.100885
0.200,4,0.019250
0.200,8,0.199550
0.200,16,0.199605
0.200,32,0.201871
0.300,4,0.000040
0.300,8,0.007315
0.300,16,0.299466
0.300,32,0.298571
0.400,4,0.000340
0.400,8,0.003225
0.400,16,0.398217
0.400,32,0.397971
0.500,4,0.000055
0.500,8,0.000500
0.500,16,0.096545
0.500,32,0.494686
0.600,4,0.000185
0.600,8,0.000630
0.600,16,0.022215
0.600,32,0.593091
0.700,4,0.000065
0.700,8,0.000500
0.700,16,0.007610
0.700,32,0.681279
0.800,4,0.000175
0.800,8,0.000070
0.800,16,0.007865
0.800,32,0.669285
0.900,4,0.000040
0.900,8,0.000215
0.900,16,0.007105
0.900,32,0.270838
1.000,4,0.000035
1.000,8,0.000045
1.000,16,0.006990
1.000,32,0.214698
1.100,4,0.000025
1.100,8,0.000165
1.100,16,0.006650
1.100,32,0.200912
1.200,4,0.000025
1.200,8,0.000095
1.200,16,0.006520
1.200,32,0.186066
1.300,4,0.000030
1.300,8,0.000040
1.300,16,0.006655
1.300,32,0.180576
1.400,4,0.000025
1.400,8,0.000105
1.400,16,0.006575
1.400,32,0.173275
1.500,4,0.000015
1.500,8,0.000035
1.500,16,0.006470
1.500,32,0.165258
1.600,4,0.000015
1.600,8,0.000025
1.600,16,0.006255
1.600,32,0.163370
1.700,4,0.000010
1.700,8,0.000025
1.700,16,0.007080
1.700,32,0.163533
1.800,4,0.000015
1.800,8,0.000025
1.800,16,0.006635
1.800,32,0.156754
1.900,4,0.000015
1.900,8,0.000035
1.900,16,0.006665
1.900,32,0.157438
2.000,4,0.000010
2.000,8,0.000030
2.000,16,0.006465
2.000,32,0.155784
2.100,4,0.000010
2.100,8,0.000040
2.100,16,0.006675
2.100,32,0.152858
2.200,4,0.000020
2.200,8,0.000050
2.200,16,0.006640
2.200,32,0.150685
2.300,4,0.000005
2.300,8,0.000025
2.300,16,0.006580
2.300,32,0.150908
2.400,4,0.000030
2.400,8,0.000025
2.400,16,0.006345
2.400,32,0.149626
2.500,4,0.000010
2.500,8,0.000020
2.500,16,0.006460
2.500,32,0.147753
2.600,4,0.000015
2.600,8,0.000030
2.600,16,0.006545
2.600,32,0.148650
2.700,4,0.000005
2.700,8,0.000025
2.700,16,0.006505
2.700,32,0.146675
2.800,4,0.000005
2.800,8,0.000015
2.800,16,0.006455
2.800,32,0.143830
2.900,4,0.000010
2.900,8,0.000015
2.900,16,0.006370
2.900,32,0.144264
3.000,4,0.000015
3.000,8,0.000020
3.000,16,0.006370
3.000,32,0.142185
