G,a,CSMA_throughput,CSMA_CD_throughput
0.100,0.000,0.000000,0.090669
0.100,0.010,0.000000,0.090070
0.100,0.050,0.000000,0.091458
0.100,0.100,0.000000,0.090385
0.100,0.200,0.000000,0.089781
0.100,0.500,0.000000,0.085604
0.200,0.000,0.000000,0.165956
0.200,0.010,0.000000,0.164918
0.200,0.050,0.000000,0.165932
0.200,0.100,0.000000,0.164094
0.200,0.200,0.000000,0.160194
0.200,0.500,0.000000,0.151359
0.300,0.000,0.000000,0.230470
0.300,0.010,0.000000,0.230067
0.300,0.050,0.000000,0.229695
0.300,0.100,0.000000,0.227479
0.300,0.200,0.000000,0.220346
0.300,0.500,0.000000,0.196473
0.400,0.000,0.000000,0.289880
0.400,0.010,0.000000,0.285753
0.400,0.050,0.000000,0.281851
0.400,0.100,0.000000,0.278758
0.400,0.200,0.000000,0.269661
0.400,0.500,0.000000,0.235468
0.500,0.000,0.000000,0.334034
0.500,0.010,0.000000,0.334878
0.500,0.050,0.000000,0.326850
0.500,0.100,0.000000,0.321840
0.500,0.200,0.000000,0.310995
0.500,0.500,0.000000,0.258894
0.600,0.000,0.000000,0.370664
0.600,0.010,0.000000,0.374280
0.600,0.050,0.000000,0.367761
0.600,0.100,0.000000,0.358105
0.600,0.200,0.000000,0.340993
0.600,0.500,0.000000,0.280275
0.700,0.000,0.000000,0.411247
0.700,0.010,0.000000,0.407674
0.700,0.050,0.000000,0.401336
0.700,0.100,0.000000,0.391669
0.700,0.200,0.000000,0.368323
0.700,0.500,0.000000,0.294722
0.800,0.000,0.000000,0.448842
0.800,0.010,0.000000,0.441571
0.800,0.050,0.000000,0.432799
0.800,0.100,0.000000,0.420647
0.800,0.200,0.000000,0.394301
0.800,0.500,0.000000,0.298707
0.900,0.000,0.000000,0.472208
0.900,0.010,0.000000,0.472074
0.900,0.050,0.000000,0.462743
0.900,0.100,0.000000,0.447302
0.900,0.200,0.000000,0.417138
0.900,0.500,0.000000,0.303981
1.000,0.000,0.000000,0.498881
1.000,0.010,0.000000,0.499714
1.000,0.050,0.000000,0.484318
1.000,0.100,0.000000,0.471601
1.000,0.200,0.000000,0.434568
1.000,0.500,0.000000,0.307258
1.100,0.000,0.000000,0.525518
1.100,0.010,0.000000,0.519151
1.100,0.050,0.000000,0.508097
1.100,0.100,0.000000,0.492584
1.100,0.200,0.000000,0.448074
1.100,0.500,0.000000,0.306913
1.200,0.000,0.000000,0.545792
1.200,0.010,0.000000,0.543225
1.200,0.050,0.000000,0.529697
1.200,0.100,0.000000,0.507719
1.200,0.200,0.000000,0.460628
1.200,0.500,0.000000,0.302457
1.300,0.000,0.000000,0.563412
1.300,0.010,0.000000,0.563540
1.300,0.050,0.000000,0.547092
1.300,0.100,0.000000,0.524119
1.300,0.200,0.000000,0.474003
1.300,0.500,0.000000,0.301948
1.400,0.000,0.000000,0.583867
1.400,0.010,0.000000,0.580541
1.400,0.050,0.000000,0.561358
1.400,0.100,0.000000,0.538507
1.400,0.200,0.000000,0.484445
1.400,0.500,0.000000,0.296095
1.500,0.000,0.000000,0.600991
1.500,0.010,0.000000,0.595194
1.500,0.050,0.000000,0.577571
1.500,0.100,0.000000,0.554399
1.500,0.200,0.000000,0.492156
1.500,0.500,0.000000,0.287194
1.600,0.000,0.000000,0.616987
1.600,0.010,0.000000,0.614532
1.600,0.050,0.000000,0.595742
1.600,0.100,0.000000,0.566510
1.600,0.200,0.000000,0.500686
1.600,0.500,0.000000,0.287142
1.700,0.000,0.000000,0.628017
1.700,0.010,0.000000,0.624755
1.700,0.050,0.000000,0.605861
1.700,0.100,0.000000,0.578778
1.700,0.200,0.000000,0.506490
1.700,0.500,0.000000,0.275680
1.800,0.000,0.000000,0.640741
1.800,0.010,0.000000,0.638594
1.800,0.050,0.000000,0.618861
1.800,0.100,0.000000,0.586916
1.800,0.200,0.000000,0.510482
1.800,0.500,0.000000,0.268542
1.900,0.000,0.000000,0.656890
1.900,0.010,0.000000,0.652827
1.900,0.050,0.000000,0.628176
1.900,0.100,0.000000,0.598753
1.900,0.200,0.000000,0.512072
1.900,0.500,0.000000,0.260300
2.000,0.000,0.000000,0.666401
2.000,0.010,0.000000,0.662669
2.000,0.050,0.000000,0.640655
2.000,0.100,0.000000,0.605761
2.000,0.200,0.000000,0.519075
2.000,0.500,0.000000,0.256950
2.100,0.000,0.000000,0.675866
2.100,0.010,0.000000,0.673392
2.100,0.050,0.000000,0.650042
2.100,0.100,0.000000,0.612028
2.100,0.200,0.000000,0.520599
2.100,0.500,0.000000,0.248830
2.200,0.000,0.000000,0.687002
2.200,0.010,0.000000,0.685441
2.200,0.050,0.000000,0.658403
2.200,0.100,0.000000,0.623320
2.200,0.200,0.000000,0.523465
2.200,0.500,0.000000,0.241290
2.300,0.000,0.000000,0.694482
2.300,0.010,0.000000,0.691099
2.300,0.050,0.000000,0.666266
2.300,0.100,0.000000,0.629584
2.300,0.200,0.000000,0.524653
2.300,0.500,0.000000,0.234352
2.400,0.000,0.000000,0.707401
2.400,0.010,0.000000,0.699992
2.400,0.050,0.000000,0.674453
2.400,0.100,0.000000,0.631139
2.400,0.200,0.000000,0.524680
2.400,0.500,0.000000,0.225580
2.500,0.000,0.000000,0.716697
2.500,0.010,0.000000,0.709615
2.500,0.050,0.000000,0.685135
